transaction_id,chain_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,account_role,expected_risk,is_synthetic_mule,fraud_probability,predicted_fraud,transaction_risk_level
MULE_TXN_001,CHAIN_001,700,TRANSFER,500000.0,C_VICTIM_001,500000.0,0.0,C_MULE_001,0.0,500000.0,victim_to_mule,CRITICAL,1,0.99999893,True,CRITICAL
MULE_TXN_002,CHAIN_001,701,CASH_OUT,490000.0,C_MULE_001,500000.0,10000.0,C_CASHOUT_001,50000.0,540000.0,mule_cash_out,CRITICAL,1,0.00041478,False,LOW
MULE_TXN_003,CHAIN_002,710,TRANSFER,1000000.0,C_VICTIM_002,1000000.0,0.0,C_MULE_002_A,0.0,1000000.0,victim_to_first_mule,CRITICAL,1,0.99999857,True,CRITICAL
MULE_TXN_004,CHAIN_002,711,TRANSFER,950000.0,C_MULE_002_A,1000000.0,50000.0,C_MULE_002_B,0.0,950000.0,mule_to_mule,CRITICAL,1,0.00117192,False,MEDIUM
MULE_TXN_005,CHAIN_002,712,CASH_OUT,900000.0,C_MULE_002_B,950000.0,50000.0,C_CASHOUT_002,100000.0,1000000.0,final_cash_out,CRITICAL,1,0.00023416,False,LOW
MULE_TXN_FANIN_001,CHAIN_003,720,TRANSFER,150000.0,C_VICTIM_FANIN_001,150000.0,0.0,C_MULE_FANIN_001,0.0,150000.0,fan_in_to_mule,CRITICAL,1,0.99999547,True,CRITICAL
MULE_TXN_FANIN_002,CHAIN_003,720,TRANSFER,200000.0,C_VICTIM_FANIN_002,200000.0,0.0,C_MULE_FANIN_001,150000.0,350000.0,fan_in_to_mule,CRITICAL,1,0.99999106,True,CRITICAL
MULE_TXN_FANIN_003,CHAIN_003,720,TRANSFER,175000.0,C_VICTIM_FANIN_003,175000.0,0.0,C_MULE_FANIN_001,350000.0,525000.0,fan_in_to_mule,CRITICAL,1,0.99997401,True,CRITICAL
MULE_TXN_FANIN_004,CHAIN_003,720,TRANSFER,225000.0,C_VICTIM_FANIN_004,225000.0,0.0,C_MULE_FANIN_001,525000.0,750000.0,fan_in_to_mule,CRITICAL,1,0.99998713,True,CRITICAL
MULE_TXN_FANIN_CASHOUT,CHAIN_003,721,CASH_OUT,730000.0,C_MULE_FANIN_001,750000.0,20000.0,C_CASHOUT_FANIN_001,0.0,730000.0,fan_in_mule_cash_out,CRITICAL,1,0.00220964,False,MEDIUM
MULE_TXN_FANOUT_001,CHAIN_004,730,TRANSFER,190000.0,C_COMPROMISED_FANOUT_001,925000.0,735000.0,C_MULE_FANOUT_001,0.0,190000.0,fan_out_to_mule,HIGH,1,1.192e-05,False,LOW
MULE_TXN_FANOUT_002,CHAIN_004,730,TRANSFER,195000.0,C_COMPROMISED_FANOUT_001,735000.0,540000.0,C_MULE_FANOUT_002,0.0,195000.0,fan_out_to_mule,HIGH,1,1.277e-05,False,LOW
MULE_TXN_FANOUT_003,CHAIN_004,730,TRANSFER,185000.0,C_COMPROMISED_FANOUT_001,540000.0,355000.0,C_MULE_FANOUT_003,0.0,185000.0,fan_out_to_mule,HIGH,1,1.257e-05,False,LOW
MULE_TXN_FANOUT_004,CHAIN_004,730,TRANSFER,180000.0,C_COMPROMISED_FANOUT_001,355000.0,175000.0,C_MULE_FANOUT_004,0.0,180000.0,fan_out_to_mule,HIGH,1,9.12e-06,False,LOW
MULE_TXN_FANOUT_005,CHAIN_004,730,TRANSFER,175000.0,C_COMPROMISED_FANOUT_001,175000.0,0.0,C_MULE_FANOUT_005,0.0,175000.0,fan_out_to_mule,HIGH,1,0.99998999,True,CRITICAL
